nome_bairro,nome_grupo,desc_atividade,total,n
IMBIRIBEIRA,INDUSTRIA GERAL,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA",48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS",48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,FABRICAÇÃO DE CONSERVAS DE FRUTAS,48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,FABRICAÇÃO DE ESTRUTURAS METÁLICAS,48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,"FABRICAÇÃO DE MÁQ E APAR DE REFRIG E VENTILA P/ USO IND E COM, PEÇAS E ACESSÓRIOS",48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,48512,3
IMBIRIBEIRA,INDUSTRIA GERAL,FABRICAÇÃO DE PRODUTOS DIVERSOS NÃO ESPECIFICADOS ANTERIORMENTE,48512,3
IMBIRIBEIRA,"INSTALACAO, COLOCACAO E MONTAGEM","MONTAG E INST DE SIST E EQUIP DE ILUM E SINALIZ EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",48512,3
IMBIRIBEIRA,"INSTALACAO, COLOCACAO E MONTAGEM",SERVIÇOS DE MONTAGEM DE MÓVEIS DE QUALQUER MATERIAL,48512,3
IMBIRIBEIRA,INSTITUICOES FINANCEIRAS E SECURITARIAS,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVID COMPLEMENTAR E DE SAÚDE",48512,3
IMBIRIBEIRA,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",48512,3
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,PEIXARIA,48512,3
IMBIRIBEIRA,OUTROS SERVICOS,ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,48512,3
IMBIRIBEIRA,OUTROS SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS PREST PRINCIPALMENTE ÀS EMPRESAS N/ ESP ANTERIORM,48512,3
IMBIRIBEIRA,SERVICOS DE INFORMATICA,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,48512,3
IMBIRIBEIRA,SERVICOS DE INFORMATICA,DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZÁVEIS,48512,3
IMBIRIBEIRA,SERVICOS DE INFORMATICA,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,48512,3
IMBIRIBEIRA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,48512,3
IMBIRIBEIRA,TRANSPORTE E COMUNICACAO,SERVIÇOS DE MALOTE NÃO REALIZADOS PELO CORREIO NACIONAL,48512,3
IMBIRIBEIRA,TRANSPORTE E COMUNICACAO,TRANSPORTE ESCOLAR,48512,3
IMBIRIBEIRA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOV COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL",48512,3
IMBIRIBEIRA,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",MOTÉIS,48512,3
IPSEP,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,25029,3
IPSEP,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE FERRAGENS E FERRAMENTAS,25029,3
IPSEP,CONSERVAÇÃO E LIMPEZA,IMUNIZAÇÃO E CONTROLE DE PRAGAS URBANAS,25029,3
IPSEP,CONSERVAÇÃO E LIMPEZA,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIP P/ USO GERAL N/ ESP ANTERIORMENTE,25029,3
IPSEP,CONSERVAÇÃO E LIMPEZA,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APAR E MAT ELÉTRICOS N/ ESP ANTERIORMENTE",25029,3
IPSEP,CONSERVAÇÃO E LIMPEZA,REPARAÇÃO E MANUTEN DE OUT OBJ E EQUIP PESSOAIS E DOMÉST N/ ESP ANTERIORMENTE,25029,3
IPSEP,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,25029,3
IPSEP,CONSTRUCAO CIVIL,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO,25029,3
IPSEP,CONSTRUCAO CIVIL,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,25029,3
IPSEP,DIVERSOES PUBLICAS,"ARTES CENICAS, ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIF ANTERIORMENTE",25029,3
IPSEP,EDUCACAO,EDUCAÇÃO INFANTIL - CRECHE,25029,3
IPSEP,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,25029,3
IPSEP,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,25029,3
IPSEP,GUARDA E LOCACAO DE BENS MOVEIS,"ALUGUEL DE OUTRAS MÁQUINAS E EQUIP COM E INDUST N/ ESP ANTERIORM, SEM OPERADOR",25029,3
IPSEP,GUARDA E LOCACAO DE BENS MOVEIS,Atividades de monitoramento de sistemas de segurança eletrônico,25029,3
IPSEP,GUARDA E LOCACAO DE BENS MOVEIS,LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR,25029,3
IPSEP,INDUSTRIA GERAL,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,25029,3
IPSEP,"INSTALACAO, COLOCACAO E MONTAGEM","INSTALAÇÃO E MANUTENÇÃO DE SIST CENTRAIS DE AR CONDIC, DE VENTIL E REFRIGERAÇÃO",25029,3
IPSEP,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",ATIVIDADES DE CONTABILIDADE,25029,3
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,25029,3
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",25029,3
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,25029,3
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,25029,3
IPSEP,OUTROS SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS PREST PRINCIPALMENTE ÀS EMPRESAS N/ ESP ANTERIORM,25029,3
IPSEP,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS,25029,3
IPSEP,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENT COM E AGENTES DO COM DE PEÇAS E ACESS NOVOS E USAD P/ VEÍC AUTOMOTOR,25029,3
IPSEP,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MÁQ, EQUIP, EMBARC E AERONAVES",25029,3
IPSEP,SAUDE,ATIVIDADE ODONTOLÓGICA,25029,3
IPSEP,SERVICOS DE INFORMATICA,Recarga de cartuchos para equipamentos de informatica,25029,3
IPSEP,SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,"LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES",25029,3
IPSEP,TRANSPORTE E COMUNICACAO,SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA,25029,3
IPUTINGA,BELEZA E HIGIENE PESSOAL,Atividades de estetica e outros servicos de cuidados com a beleza,52200,3
IPUTINGA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,52200,3
IPUTINGA,CONSTRUCAO CIVIL,OBRAS DE ALVENARIA,52200,3
IPUTINGA,CONSTRUCAO CIVIL,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,52200,3
IPUTINGA,CONSTRUCAO CIVIL,SERVIÇOS DE ENGENHARIA,52200,3
IPUTINGA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO","ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉREA E SUBMARINA",52200,3
IPUTINGA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",Edição de jornais não diários,52200,3
IPUTINGA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",SERVIÇOS DE PRÉ-IMPRESSÃO,52200,3
IPUTINGA,INDUSTRIA GERAL,Fabricacao de produtos de panificacao industrial,52200,3
IPUTINGA,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS,52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO,52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE GÁS LIQÜEFEITO DE PETRÓLEO (GLP),52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,52200,3
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE OBJETOS DE ARTE,52200,3
IPUTINGA,OUTROS SERVICOS,Servicos de tratamento e revestimento em metais,52200,3
IPUTINGA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COM E AGENTES DO COM DE INST E MAT ODONTO-MÉDICO-HOSPITALARES,52200,3
IPUTINGA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",SERVIÇOS DE ENTREGA RÁPIDA,52200,3
IPUTINGA,SAUDE,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE,52200,3
IPUTINGA,SERVICOS DE INFORMATICA,Desenvolvimento de programas de computador sob encomenda,52200,3
IPUTINGA,SERVICOS DE INFORMATICA,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,52200,3
IPUTINGA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,52200,3
IPUTINGA,TRANSPORTE E COMUNICACAO,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,52200,3
IPUTINGA,TRANSPORTE E COMUNICACAO,SERVIÇO DE TÁXI,52200,3
IPUTINGA,TRANSPORTE E COMUNICACAO,TRANSPORTE ESCOLAR,52200,3
IPUTINGA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOV COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL",52200,3
IPUTINGA,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",AGÊNCIAS DE VIAGENS,52200,3
IPUTINGA,VETERINARIO E SIMILARES,ATIVIDADES VETERINÁRIAS,52200,3
JAQUEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",1591,3
JARDIM SAO PAULO,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE COSMÉTICOS E PRODUTOS DE PERFUMARIA,31648,3
JARDIM SAO PAULO,CONSERVAÇÃO E LIMPEZA,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO,31648,3
JARDIM SAO PAULO,CONSTRUCAO CIVIL,LOTEAMENTO DE IMOVEIS PROPRIOS,31648,3
JARDIM SAO PAULO,EDUCACAO,FORMAÇÃO DE CONDUTORES,31648,3
JARDIM SAO PAULO,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,31648,3
JARDIM SAO PAULO,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",31648,3
JARDIM SAO PAULO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,31648,3
JARDIM SAO PAULO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,31648,3
JARDIM SAO PAULO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COM E AGENTES DO COM DE MEDICAM, COSMÉT E PROD DE PERFUMARIA",31648,3
JARDIM SAO PAULO,SUPERMERCADOS E LOJAS DE DEPARTAMENTOS,"COM VAR DE MERC EM GERAL, COM PREDOMIN DE PROD ALIMENTÍCIOS - SUPERMERCADOS",31648,3
JIQUIA,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,10245,3
JIQUIA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,10245,3
JIQUIA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO","IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS",10245,3
JIQUIA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",10245,3
JIQUIA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE BEBIDAS,10245,3
JIQUIA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",10245,3
JORDAO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,20777,3
JORDAO,EDUCACAO,ENSINO FUNDAMENTAL,20777,3
JORDAO,INDUSTRIA GERAL,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,20777,3
JORDAO,OUTRAS ATIVIDADES VAREJISTAS,Comercio a varejo de peças e acessórios novos para motocicletas e motonetas,20777,3
JORDAO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS/ PEÇAS E ACESSÓRIOS,20777,3
JORDAO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,20777,3
JORDAO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,20777,3
JORDAO,OUTROS SERVICOS,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,20777,3
JORDAO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MADEIRA, MATDE CONST E FERRAGENS",20777,3
JORDAO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",SERVIÇOS DE ENTREGA RÁPIDA,20777,3
JORDAO,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS OU FILOSOFICAS,20777,3
JORDAO,TRANSPORTE E COMUNICACAO,SERVIÇO DE TÁXI,20777,3
JORDAO,TRANSPORTE E COMUNICACAO,SERVIÇO DE TRANSPORTE DE PASSAGEIROS - LOCAÇÃO DE AUTOMÓVEIS COM MOTORISTA,20777,3
MACAXEIRA,CONSERVAÇÃO E LIMPEZA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,20313,3
MACAXEIRA,CONSERVAÇÃO E LIMPEZA,REPARAÇÃO E MANUTENÇÃO DE EQUIP ELETROELETRÔN DE USO PESSOAL E DOMÉSTICO,20313,3
MACAXEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",20313,3
MACAXEIRA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,20313,3
MADALENA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,23082,3
MADALENA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,23082,3
MADALENA,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO,23082,3
MADALENA,CONSERVAÇÃO E LIMPEZA,MANUTEN E REP DE APAR ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIP DE IRRADIAÇÃO,23082,3
MADALENA,CONSERVAÇÃO E LIMPEZA,"MANUTENÇÃO E REPARAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE",23082,3
MADALENA,CONSERVAÇÃO E LIMPEZA,"SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓR P/ VEÍC AUTOMOTORES",23082,3
MADALENA,CONSTRUCAO CIVIL,LOTEAMENTO DE IMOVEIS PROPRIOS,23082,3
MADALENA,EDUCACAO,"ATIVIDADES DE APOIO À EDUCAÇÃO, EXCETO CAIXAS ESCOLARES",23082,3
MADALENA,EDUCACAO,EDUCAÇÃO INFANTIL - CRECHE,23082,3
MADALENA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",Edição de jornais diários,23082,3
MADALENA,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,23082,3
MADALENA,INDUSTRIA GERAL,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA",23082,3
MADALENA,"INSTALACAO, COLOCACAO E MONTAGEM",INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,23082,3
MADALENA,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",23082,3
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,23082,3
MADALENA,OUTROS SERVICOS,"CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISSIONAIS",23082,3
MADALENA,OUTROS SERVICOS,PROMOÇÃO DE VENDAS,23082,3
MADALENA,OUTROS SERVICOS,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,23082,3
MADALENA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",CORRETAGEM NO ALUGUEL DE IMÓVEIS,23082,3
MADALENA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MADEIRA, MATDE CONST E FERRAGENS",23082,3
MADALENA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",SERVIÇOS DE ENTREGA RÁPIDA,23082,3
MADALENA,SAUDE,ATIVIDADE ODONTOLÓGICA,23082,3
MADALENA,SAUDE,ATIVIDADES DE ATEND EM PRONTO-SOCORRO E UNIDADES HOSPITALARES P/ ATEND A URGÊNC,23082,3
MADALENA,SAUDE,ATIVIDADES DE PROFISSIONAIS DA ÁREA DE SAÚDE NÃO ESPECIFICADAS ANTERIORMENTE,23082,3
MADALENA,TECNICO-CIENTIFICO,"OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",23082,3
MADALENA,TECNICO-CIENTIFICO,SERVIÇOS DE ARQUITETURA,23082,3
MADALENA,TRANSPORTE E COMUNICACAO,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,23082,3
MADALENA,TRANSPORTE E COMUNICACAO,"TRANSP RODOV DE CARGA, EXC PROD PERIG E MUDAN, INTERMUN, INTEREST E INTERNACIONAL",23082,3
MANGUEIRA,CONSERVAÇÃO E LIMPEZA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,8480,3
MANGUEIRA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,8480,3
MANGUEIRA,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,8480,3
MANGUEIRA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,8480,3
MANGUEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",8480,3
MANGUEIRA,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",8480,3
MANGUEIRA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",8480,3
MONTEIRO,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",CONDOMÍNIOS PREDIAIS,5917,3
MUSTARDINHA,CONSERVAÇÃO E LIMPEZA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,12429,3
MUSTARDINHA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,12429,3
MUSTARDINHA,INDUSTRIA GERAL,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,12429,3
MUSTARDINHA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,12429,3
MUSTARDINHA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,12429,3
NOVA DESCOBERTA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,34212,3
PAISSANDU,"CONTABILIDADE, CONSULTORIA E ASSESSORIA","ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXC CONSULT TÉCNICA ESPECÍFICA",507,3
PAISSANDU,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",507,3
PAISSANDU,SAUDE,LABORATÓRIOS CLÍNICOS,507,3
PARNAMIRIM,COMERCIO ATACADISTA,"COMÉRCIO ATACADISTA DE INSTR E MATER P/ USO MÉDICO, CIRÚRG, HOSP E DE LABORATÓRIOS",7636,3
PARNAMIRIM,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,7636,3
PARNAMIRIM,CONSTRUCAO CIVIL,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,7636,3
PARNAMIRIM,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,7636,3
PARNAMIRIM,EDUCACAO,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,7636,3
PARNAMIRIM,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",SERVIÇOS ADVOCATÍCIOS,7636,3
PARNAMIRIM,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",7636,3
PARNAMIRIM,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",7636,3
PARNAMIRIM,OUTRAS ATIVIDADES VAREJISTAS,COM VAREJ DE PROD ALIMENT EM GERAL OU ESPECIALIZ EM PROD ALIMENT N/ ESP ANTERIORM,7636,3
PARNAMIRIM,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,7636,3
